Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
24,CA-2017-117590,12/8/2017,12/10/2017,First Class,JK-15205,Jamie Kunitz,Consumer,United States,Boulder,Colorado,80301,West,OFF-BI-10004995,Office Supplies,Binders,Wilson Jones Legal Size Ring Binders,40.1,3,0.2,3.009
25,CA-2017-117590,12/8/2017,12/10/2017,First Class,JK-15205,Jamie Kunitz,Consumer,United States,Boulder,Colorado,80301,West,OFF-SU-10000946,Office Supplies,Supplies,Staple envelope,29.6,2,0,1.1776
26,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10000304,Office Supplies,Paper,While you Were Out Message Book, Wirebound, 5 x 5 1/2, 4 Forms per Page,25.92,4,0,6.2208
27,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,45.0,3,0,4.95
28,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,370.0,2,0,37.0
29,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10003172,Office Supplies,Paper,Staple-based wall hangings,79.92,4,0,22.3776
30,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
31,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,69.9,3,0,17.475
32,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2,0.2,1.168
33,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10002215,Office Supplies,Binders,Wilson Jones Hanging View Binder, White, 1",4.616,1,0.2,1.731
34,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-10002170,Technology,Phones,Wall mount cordless phone system,1029.95,3,0,298.6855
35,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,16.52,5,0.2,3.304
36,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10000777,Office Supplies,Storage,Companion Letter/Legal File Folder,39.296,4,0.2,3.9296
37,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10003829,Office Supplies,Art,Faber-Castell Col-Erase Pencils,12.78,6,0,5.2398
38,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10004187,Office Supplies,Binders,3-ring binder, 1",5.682,1,0.8,-3.788
39,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10002578,Office Supplies,Art,Newell 23,9.912,3,0.2,2.478
40,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,725.84,3,0,14.5168
41,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,288.56,3,0,5.7712
42,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10003478,Office Supplies,Art,Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack,19.9,5,0,6.567
43,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003727,Office Supplies,Binders,Avery Durable Slant Ring Binders With Label Holder,13.188,3,0.2,4.5186
44,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001149,Office Supplies,Art,Newell 309,6.15,2,0,2.146
45,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10004483,Office Supplies,Envelopes,#10 White Business Envelopes, with Self Seal,113.73,3,0,33.5022
46,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10002103,Office Supplies,Binders,Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl,40.096,4,0.2,14.5344
47,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003981,Office Supplies,Binders,Avery Durable Plastic 1" Binders,5.328,3,0.2,1.5972
48,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0,3.5464
49,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10004082,Office Supplies,Paper,Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4"X8 1/2", 8/Pack,17.472,2,0.2,5.6824
50,CA-2016-108196,11/25/2016,12/2/2016,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10003442,Office Supplies,Storage,Safco Industrial Wire Shelving,21.376,2,0.2,6.413
